fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,Class
-0.577226024,-0.336804191,-0.381130367,0.062759327,-0.148922706,0.541042356,0.224818237,-0.405841937,0.47681587,-1.49786555,g
-0.510968892,-0.570026657,-0.648594785,0.820383399,1.471775996,0.516919192,0.260364187,-0.490093589,-0.815418161,0.153124592,g
2.568277562,6.205858358,2.615783055,-1.875883064,-1.77324106,2.044992084,-1.478536326,-2.183029864,1.88922413,0.842635129,g
-0.694767579,-0.687259293,-1.029477661,1.282069116,1.606607993,0.532771026,-0.333514757,-0.355359127,-0.658803585,-1.031462728,g
0.516622126,0.476383774,0.711157078,-0.347506416,-0.284659616,-0.020200403,0.353086018,1.036620089,-0.881039136,2.176426604,g
-0.038385513,-0.056186098,0.176651444,-0.756678117,-0.72987668,0.932493982,0.640077212,0.45925116,-0.920689851,0.592534173,g
-0.118104629,-0.26297712,0.440518636,-0.697052829,-0.571516952,0.217968971,0.540212073,0.496333026,-0.875522515,0.338137744,g
-0.624601443,-0.45904621,-0.577496649,0.236712002,0.024820538,0.573700343,0.19432731,-0.152635643,-1.027995795,0.57963437,g
1.014606945,1.326507079,2.812149337,-1.654339563,-1.589543775,1.937128671,1.460879243,2.061501794,-0.873147303,0.728062396,g
-0.153155829,-0.380564065,-0.521422226,-0.233179029,-0.211361685,0.491289386,0.653575575,-0.332787348,-0.757413188,-1.225307696,g
0.224872634,0.421324172,1.075111826,-0.726591963,-0.801364786,-0.499535543,0.92236045,1.129370368,-0.679284041,1.729911425,g
-0.811872439,-0.311844493,-0.817876063,0.808895959,0.711649302,0.49757438,-0.335020675,-0.825011549,-0.620033997,-0.414426603,g
-0.179824862,0.028837134,0.46358321,-0.869911462,-0.842990771,-0.237597708,-0.611548874,-0.699390305,-1.044461377,-0.208257239,g
-0.473715336,-0.529580934,-0.697263153,0.488341658,0.240189768,-0.214550476,-0.639657391,-0.404766404,0.5471911,-2.039833919,g
0.170141868,0.595518776,0.78162041,0.479042301,0.28724523,0.314701474,-0.871041369,1.3723495,-0.741437973,2.391949664,g
-0.561235935,0.015106302,-0.421546272,-0.397285326,-0.367911587,0.379294531,0.238396994,0.620235338,0.781164795,0.271751931,g
-0.40308182,-0.24498913,0.256002043,-0.513253776,-0.502743584,-0.007480087,-0.578744166,0.531806395,-1.049372702,-0.03162093,g
-0.164259665,-0.335130763,-0.104567079,-0.218956483,-0.205027296,0.917199538,0.447456908,-0.626479761,0.423756701,-1.582964106,g
-0.169752569,-0.185001909,0.839387646,-0.750660886,-0.581470992,0.905372736,0.46199255,0.506353724,-0.726343884,-0.174428709,g
-0.200897128,-0.356738155,-0.395730877,-0.380874696,-0.390534406,0.310360588,0.523131271,0.584272218,-0.934558024,0.374522147,g
0.906250132,2.709145746,2.165494856,-1.653792542,-1.553347266,-0.88471231,1.210932074,2.869812533,-0.422316762,1.225695052,g
0.77421033,-0.019201701,1.129281835,-0.784576188,-0.43849478,-0.919755251,0.926995855,-0.91511621,-0.982292121,1.455041242,g
0.879991828,-0.234872249,0.440095432,-0.919690372,-0.96515399,-0.896642145,1.452453551,0.706609246,-0.980989585,1.046703592,g
-0.775818022,-0.715963764,-1.033709692,1.398037566,1.581270437,0.449319607,0.04712182,-0.109955245,0.588343561,-1.708171148,g
0.802295668,0.313646974,0.126501865,-0.354617689,-0.308187347,-0.234415518,1.100833356,-0.556661372,-0.889524772,1.989647089,g
1.276748571,0.379090552,1.484349315,-1.361136312,-1.324404345,-0.722677344,1.548430362,-0.9745874,-0.932221122,1.337658385,g
-0.61419868,-0.158036277,-0.396788885,-0.051021039,-0.097342681,0.462335508,0.250932588,0.454790581,1.911363404,-1.198116409,g
-0.626565387,-0.178460822,-0.310878636,0.261327947,0.061017048,0.227910782,0.159616673,-0.573226494,-0.029295813,-1.740326985,g
-0.700727864,-0.664376389,-1.302443721,1.026063292,1.101666689,0.579978582,-0.478679022,-0.408593188,-0.042635309,-0.11546965,g
-0.436730879,-0.160930708,-0.554643676,-0.075089963,-0.147112881,0.586027108,-0.526576248,0.675514831,-1.000834097,-1.129040907,g
-0.065321283,0.20653122,1.046122407,-1.018701172,-0.917193615,0.615680256,0.558261525,-0.885087725,-0.198242336,-0.698744153,g
0.806622481,0.25104877,1.265553263,-0.543886952,-0.34890842,0.250143887,1.133341979,-1.168898683,-1.045131799,2.381538827,g
-0.432673163,-0.338984554,0.043765641,-0.293351338,-0.348003507,0.34007961,0.025085997,0.563073663,-0.691711762,-0.523298801,g
-0.580431596,-0.166725021,0.075929083,-0.219503504,-0.228555027,-0.101217885,-0.661391245,0.538418039,-0.263890128,0.070132289,g
0.51826268,0.517963285,0.652543436,-1.030188612,-1.040261747,-0.908588871,0.637945788,0.483613893,-0.998091111,1.192254587,g
0.740252045,0.778647415,1.811062181,-1.318468675,-1.29635205,0.992867766,1.479981662,0.76331478,-0.385807456,0.866842332,g
-0.180360698,-0.074713728,0.462948405,-0.844201476,-0.890951146,0.064625912,0.533933491,-0.453899997,-0.896286464,-0.377841477,g
-0.366071397,0.117392554,0.455753951,-0.7249509,-0.577851341,0.17447566,0.467949556,0.649442769,-0.131391614,-0.832559539,g
-0.355692238,-0.341088604,-0.284428437,-0.296086443,-0.43849478,0.244311561,0.305182908,-0.161177484,-0.960570425,-0.224944017,g
0.480980798,0.730477759,1.329456946,-0.716745585,-0.736211069,-0.73822008,0.628767137,-1.27354224,-0.887819983,2.388590898,g
0.23829685,0.120167065,1.265976466,-0.800986817,-0.698204734,-0.7483612,-0.587469865,0.803171904,-1.034585092,1.307844317,g
-0.861334548,-0.587867472,-1.113271893,1.10811644,1.03560806,0.058563873,-0.108391713,-0.287725414,1.339783985,-0.32289688,g
-0.603713298,-0.178030201,-0.598445207,-0.02421701,0.070066175,0.595710492,0.190131131,0.715098271,-0.316968452,0.393724655,g
-0.943931125,-0.625026299,-1.46664656,2.198876296,1.764062809,0.321758369,-0.158414481,-0.581048113,1.569106863,-1.15037108,g
0.198191799,-0.05505231,1.280788578,-0.925160582,-0.959724514,0.999326734,0.822424721,-0.923590831,-0.897700098,0.545471302,g
-0.816661912,-0.382302904,-0.827821338,0.780450867,1.107096165,0.000585178,0.107572288,0.376790462,-0.875223698,-1.847550577,g
-0.356140735,0.159609821,0.590544168,-0.729327067,-0.785076357,0.702761467,0.241395105,0.767146365,-0.84794324,-0.076194835,g
-0.95072231,-0.614598716,-1.529703836,1.984444068,2.314249749,0.305421775,-0.329202889,-0.328758902,0.559136117,-0.34220644,g
0.236958441,0.231447311,1.308508387,-0.799345754,-0.790505833,-0.38890376,0.864825737,0.937906366,-1.021739793,1.459644491,g
-0.666871081,-0.408505409,-0.595905988,0.282661765,0.16779675,0.171205638,0.170456149,-0.5095348,-0.681291478,-0.265155541,g
-0.407396831,-0.148895108,-0.165931542,-0.276940708,-0.312711911,-0.50123136,-0.704745226,-0.31749942,-1.049813265,-0.238566424,g
-0.216353742,0.045424241,0.153163666,-1.00666671,-1.042976485,0.511519265,-0.895638038,0.914748805,-0.441586626,0.2245151,g
0.285792655,0.009121207,-0.184975686,-0.518723986,-0.493694457,-1.435008266,-0.819430328,-0.960701506,-0.872381106,1.05529454,g
-0.223723251,-0.099640721,0.154856479,-0.579990337,-0.666532789,0.629471437,0.546586735,0.5211519,-0.436568033,1.07077698,g
-0.466539388,-0.387252327,-0.059495939,-0.098611865,-0.231269765,0.635942228,0.169342397,-0.342207861,-0.562967616,-0.331220197,g
0.935284395,0.191001589,0.698884186,-0.756678117,-0.477406028,-0.3576004,0.808871455,-0.924335061,-0.762964288,1.482232528,g
-0.792988366,-0.6782762,-1.242137266,1.081312412,1.012985241,-0.332701957,-0.399647715,-0.146436926,1.355567651,-1.00999874,g
1.029362488,0.942708785,2.465757523,-1.421855642,-1.328023996,-0.924003238,1.08793893,-1.281070968,-0.91311599,1.969467729,g
0.99780012,0.672229377,2.760306946,-1.530712819,-1.451092127,0.431226389,1.536634001,-0.749464989,-1.05588538,0.897379003,g
-0.718908506,-0.39864472,-0.545968011,0.7656813,0.717983691,-0.074594911,-0.606368357,0.600918965,-0.79922841,-1.118161717,g
0.318277982,0.150392339,1.292215064,-1.159832587,-1.137992322,0.53529955,1.108033529,-0.366988323,-0.678264998,0.402703667,g
-0.194339633,-0.203306052,-0.266653902,-0.526929301,-0.431255479,-0.108340654,-0.94376076,-0.668766436,-0.725117968,-0.203011676,g
1.095074342,-0.470591229,-0.8227429,0.023373816,-0.136253928,0.895939332,1.602308124,0.357843804,1.797525627,-1.821159507,g
-0.765724485,-0.818140998,-1.480189063,1.771105881,1.277219759,0.04704448,-0.031009465,-0.301255998,2.201181396,0.56380401,g
1.017977752,0.50198668,1.129916639,-0.888510176,-0.697299822,-0.514644191,0.99057385,0.974613716,-0.684356267,1.518844417,g
-0.540959161,-0.392425237,-0.788040238,0.524445043,0.243809419,-0.470870495,-0.602164335,-0.256895081,-1.024337202,-1.596334939,g
-0.762469343,-0.825505172,-1.446544409,1.90840815,1.618371859,-0.314983711,-0.445327242,0.280338238,0.498422636,-0.633027417,g
-0.085824666,0.325268306,0.929106724,-1.112788782,-1.137087409,0.817860815,0.303284824,1.089422016,-1.033435796,-0.57616926,g
-0.620189652,-0.679028425,-1.097401773,0.431998496,0.224806252,-0.134870729,0.112580252,0.067118708,-0.918314639,0.047102662,g
-0.553141749,-0.127800101,-0.185822092,-0.046644871,0.220281688,0.242183344,0.26266032,0.71160279,-0.448719924,0.379580369,g
-0.713486417,-0.48804503,-1.282764772,0.365261935,0.162367273,-0.359340132,-0.411275445,0.254487044,0.220476873,0.227499183,g
0.304103124,0.204132821,0.790084474,-1.262672533,-1.263775192,0.787565823,0.784474791,-0.622278462,-0.617930785,-0.445592207,g
-0.431972092,-0.336259101,0.510558764,-0.455816572,-0.45478321,-0.138291077,0.011681754,-0.375827856,-0.382229314,0.101511997,g
-0.699061345,-0.583648471,-0.759474022,1.360840138,1.754108769,-0.19115023,-0.576034297,-0.487419162,0.609866046,0.007573597,g
-0.773651075,-0.349804602,-0.809411999,0.171069483,0.001292807,0.115054506,-0.412640183,-0.200352797,-0.530086255,-1.850926739,g
0.1530447,-0.281172244,-0.053571094,-0.458004656,-0.227650114,0.935017439,0.863574727,-0.688899061,-0.863952935,0.32166507,g
-0.722562574,-0.649757059,-1.430039484,0.984489697,0.913444841,0.469024188,0.158987247,-0.531962535,-0.508376052,0.768929615,g
0.936811644,-0.002483772,0.557534319,-0.380327675,-0.189643779,0.388190813,0.744667955,0.673762289,-0.925133796,2.210255133,g
0.786366952,0.798150757,2.068581325,-1.255561261,-1.21038534,-0.333161381,0.988871849,1.244404338,-0.957850424,1.508527251,g
-0.327554969,-0.550501512,-0.103085868,-0.322890471,-0.481025679,0.380108658,0.060659399,0.301383145,-0.915636779,0.096239671,g
-0.282960229,-0.065539853,0.658256679,-0.544980994,-0.471071639,0.465972056,0.642908652,0.598518223,-0.767385247,0.338003928,g
0.864292081,0.624533949,2.253309519,-1.267048701,-1.214004991,0.446399221,1.724995379,0.663530325,-0.917778301,-0.471030512,g
-0.666871081,-0.240165078,-0.477620695,0.286490912,0.27729119,-0.203365516,-0.707394309,0.700948295,2.07721449,-0.984279423,g
-0.794803597,-0.407911261,-1.124909981,0.731218978,0.613013814,-0.04178153,0.134239594,-0.251531822,-0.55456243,-0.84169913,g
-0.741571755,-0.836657725,-1.364019786,1.783140343,1.252787115,0.512000647,-0.210121603,0.305401988,0.300870133,-1.312469685,g
0.810446506,0.610132655,2.318694413,-1.396692676,-1.338882948,1.748935224,1.264184331,-0.70270333,-0.966087046,0.822924123,g
0.01141887,-0.367470989,-0.836285402,0.420511055,0.731557382,-0.700606389,-0.998177751,-0.462624295,-0.986850995,-2.156238585,g
-0.433416724,-0.138494779,0.037840796,-0.030781262,0.350589122,0.579588409,0.364862771,0.587455602,-0.738219944,0.448522055,g
-0.287567943,-0.322866225,-0.199364595,-0.148390775,-0.302757871,0.874464615,0.53661983,0.762186431,-0.382129709,0.260926266,g
0.159946829,-0.541600182,-0.041933006,-0.658214339,-0.645719796,0.133390949,0.875690704,0.398464364,-1.006078719,0.485361431,g
0.396141738,0.438499977,0.703116218,-1.109506656,-1.101795813,-1.048424512,0.743460083,-1.212198472,-0.946625632,1.35057157,g
0.50328997,0.048651178,0.352069168,-0.339848122,-0.470166726,-0.543815957,1.03003362,-0.600623766,-0.904752945,2.270458675,g
0.58237883,0.525463732,1.860576955,-0.954152695,-0.827607255,0.031966235,0.933772488,-0.702011916,-1.049748139,1.795454201,g
-0.332233498,0.228999855,-0.060130744,-0.193246497,-0.128109713,-0.570773365,0.291700232,0.807017893,-0.810188864,1.409811641,g
-0.82828978,-0.639433043,-1.170615926,1.225178932,1.033798234,0.102329123,-0.356980025,-0.31448889,0.602246213,-0.623339184,g
-0.655606732,-0.550059988,-0.889185802,0.180915861,0.141554281,0.191945614,0.102995708,0.286109622,-0.107218087,-0.006276296,g
-0.703449532,-0.321421735,-0.559722115,0.402459362,0.460083562,-0.075500248,-0.520252567,0.486835689,2.151573946,0.553794619,g
-0.500228575,-0.3534022,-0.672505766,0.012433396,-0.099152506,0.034124855,-0.554739669,-0.555729884,-0.592462384,-0.000321511,g
-0.82151984,-0.56823876,-0.88368416,1.045209027,1.723341736,0.071564573,-0.334987341,0.535234655,1.593054362,0.342245876,g
-0.279721611,0.189529844,0.457869966,-0.966734177,-1.016734016,0.736375463,0.39137321,-1.133118019,-1.034799628,-1.372812395,g
0.928512094,-0.594065153,0.385290619,-0.374310444,-0.202312557,-1.086357436,-1.16601903,0.313617328,-0.962949468,1.328291308,g
-0.564344726,-0.327030717,-0.582786689,-0.290616233,-0.449353733,-0.802211832,0.259240631,0.359476308,0.442222058,-0.344360868,g
-0.128002244,-0.200155428,-0.165085136,-0.562485665,-0.491884632,0.559341639,-0.777023429,-0.389339234,-0.875292656,-0.456498161,g
0.472209146,-0.143128049,-0.57241821,-0.127603978,-0.187833954,-0.672145717,0.471547681,0.789449261,-0.172268245,1.188253507,g
